LocationID,trip_count,total_fare,avg_fare,avg_distance,avg_tip,Zone,Borough,latitude,longitude,intensity
97,1627,51318.3,31.541671788567918,4.194935464044253,0.6564413030116779,Fort Greene,Brooklyn,40.7128,-74.006,0.029184379988878725
129,1623,49803.16,30.685865680837956,4.336956253850894,1.0166235366605052,Jackson Heights,Queens,40.7128,-74.006,0.029112629822956464
243,1617,54464.86,33.68265924551639,196.67149659863946,0.3982251082251082,Washington Heights North,Manhattan,40.7128,-74.006,0.029005004574073078
89,1608,53722.39,33.40944651741294,5.80238184079602,0.1921641791044776,Flatbush/Ditmas Park,Brooklyn,40.7128,-74.006,0.028843566700747995
66,1598,51308.41,32.107891113892364,3.6827346683354194,1.0364580725907384,DUMBO/Vinegar Hill,Brooklyn,40.7128,-74.006,0.028664191285942348
225,1564,54183.02,34.6438746803069,4.932352941176471,0.2674680306905371,Stuyvesant Heights,Brooklyn,40.7128,-74.006,0.02805431487560315
188,1503,46939.85,31.230771789753824,4.728389886892881,0.22708582834331337,Prospect-Lefferts Gardens,Brooklyn,40.7128,-74.006,0.026960124845288706
181,1479,50631.8,34.23380662609872,29.60829614604463,0.8682826233941853,Park Slope,Brooklyn,40.7128,-74.006,0.026529623849755154
264,1479,29080.55,19.66230561189993,3.228005409060176,3.937396889790399,NV,Unknown,40.7128,-74.006,0.026529623849755154
65,1450,46067.29,31.770544827586207,4.156303448275862,1.126344827586207,Downtown Brooklyn/MetroTech,Brooklyn,40.7128,-74.006,0.026009435146818777
179,1450,44354.18,30.589089655172415,72.59812413793104,0.4209931034482759,Old Astoria,Queens,40.7128,-74.006,0.026009435146818777
146,1391,35377.7,25.433285406182602,3.23980589503954,0.9748166786484543,Long Island City/Queens Plaza,Queens,40.7128,-74.006,0.024951120199465462
80,1368,43423.27,31.742156432748537,78.79421783625732,0.7664400584795321,East Williamsburg,Brooklyn,40.7128,-74.006,0.024538556745412474
49,1367,45759.54,33.474425749817115,4.416737381126555,0.5083321141185076,Clinton Hill,Brooklyn,40.7128,-74.006,0.02452061920393191
17,1350,42706.58,31.634503703703704,4.374044444444444,0.403037037037037,Bedford,Brooklyn,40.7128,-74.006,0.02421568099876231
25,1266,41061.39,32.433957345971564,4.114936808846761,0.7968641390205372,Boerum Hill,Brooklyn,40.7128,-74.006,0.022708927514394878
39,1242,40284.91,32.435515297906605,6.386103059581321,0.03616747181964573,Canarsie,Brooklyn,40.7128,-74.006,0.022278426518861326
223,1222,38797.1,31.74885433715221,4.835826513911621,1.5748608837970541,Steinway,Queens,40.7128,-74.006,0.02191967568925003
130,1140,35680.66,31.29882456140351,6.103061403508772,0.5999649122807018,Jamaica,Queens,40.7128,-74.006,0.02044879728784373
216,1109,51301.16,46.258935978358885,4.632155094679892,4.6137691614066725,South Ozone Park,Queens,40.7128,-74.006,0.019892733501946223
260,1102,30612.43,27.778974591651544,29.62597096188748,1.0189745916515427,Woodside,Queens,40.7128,-74.006,0.01976717071158227
35,1081,32440.82,30.010009250693802,5.817798334875116,0.00883441258094357,Brownsville,Brooklyn,40.7128,-74.006,0.01939048234049041
193,1038,19927.8,19.198265895953757,2.879797687861272,0.516290944123314,Queensbridge/Ravenswood,Queens,40.7128,-74.006,0.018619168056826133
177,1021,33328.2,32.64270323212536,5.63947110675808,0.5202644466209599,Ocean Hill,Brooklyn,40.7128,-74.006,0.01831422985165653
72,1004,30892.41,30.769332669322708,109.90950199203188,0.07600597609561753,East Flatbush/Remsen Village,Brooklyn,40.7128,-74.006,0.018009291646486934
91,998,31481.59,31.544679358717435,5.821312625250501,0.0743186372745491,Flatlands,Brooklyn,40.7128,-74.006,0.017901666397603544
168,991,29544.26,29.81257315842583,5.153521695257316,0.2115640766902119,Mott Haven/Port Morris,Bronx,40.7128,-74.006,0.017776103607239593
95,910,28777.41,31.62352747252747,102.46597802197802,0.3963626373626374,Forest Hills,Queens,40.7128,-74.006,0.016323162747313852
36,900,28460.38,31.622644444444447,4.294933333333334,0.35209999999999997,Bushwick North,Brooklyn,40.7128,-74.006,0.016143787332508205
197,840,30373.56,36.159,4.332095238095238,0.8969285714285714,Richmond Hill,Queens,40.7128,-74.006,0.015067534843674325
82,837,23260.98,27.79089605734767,4.217383512544803,0.5108482676224612,Elmhurst,Queens,40.7128,-74.006,0.015013722219232632
71,824,25987.58,31.53832524271845,5.305509708737864,0.14816747572815533,East Flatbush/Farragut,Brooklyn,40.7128,-74.006,0.014780534179985292
62,794,24804.88,31.240403022670026,4.742808564231738,0.3165113350125945,Crown Heights South,Brooklyn,40.7128,-74.006,0.01424240793556835
69,766,23999.85,31.33139686684073,6.198028720626631,0.08746736292428199,East Concourse/Concourse Village,Bronx,40.7128,-74.006,0.01374015677411254
